WaterSourceName,WaterSourceTypeCV,WaterQualityIndicatorCV,GNISFeatureNameCV,Geometry
Alvord Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Ames Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Amesberry Springs,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
AML 7BN Creek,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
AML 7BW Creek,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Amoco Basin (a closed basin),SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Amoretti Spring,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Amos Creek,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Amos Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Amsburger Creek,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Amsden Creek,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Amspoker Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Amvet Creek,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Anchor Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Anda Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Andersen Spring,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Anderson Creek,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Anderson Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Anderson Gulch,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Anderson Spring,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Anderson Spring No. 1,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Andi Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Andrews Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Andrus Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Andrus No. 1 Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Andy's Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Andy Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Andy Johnson Creek,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Angel Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Angell Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Angle Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Anita Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Anite Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Ann Cody Run,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Annas Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Anne Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Annie's Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Anniversary Spring,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Ant Hill Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Ant Hollow Draw,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
Antalope Spring,SURFACE,FRESH,9999,"30 10, 40 40, 20 40, 10 20, 30 10"
