SiteNativeID,SiteName,SiteTypeCV,Longitude,Latitude,Geometry,CoordinateMethodCV,CoordinateAccuracy,GNISCodeCV,NHDMetadataID
106773,GURTLER WELL 1-10471,Well,-104.602502,40.109712,,5107,GPS,0.01,99999
106774,GURTLER WELL 2-10472,Well,-104.601611,40.109556,,5107,GPS,0.01,99999
106775,GUSTAFSON WELL 2-6236,Well,-104.663973,40.523469,,5107,GPS,0.01,99999
106776,GUTHRIE LAND CO 1-6117,Well,-103.753618,40.278933,,5107,GPS,0.01,99999
106777,GUTHRIE LAND CO 2-3027RF,Well,-103.749211,40.276174,,5107,GPS,0.01,99999
106778,GUTHRIE LAND CO 3-6045,Well,-103.762966,40.273313,,5107,GPS,0.01,99999
106780,GUTTERSON WELL 2-16222,Well,-104.398691,40.528204,,5107,GPS,0.01,99999
106781,GUTTERSON WELL 3-16223,Well,-104.398987,40.52943,,5107,GPS,0.01,99999
106782,H L WELLS IRR SYS 1 WELL A,Well,-104.460281,40.473766,,5107,Spotted from section lines,0.01,99999
106783,H L WELLS IRR WELL 2,Well,-104.46693,40.471935,,5107,GPS,0.01,99999
106784,H L WELLS IRR WELL 3,Well,-104.470019,40.464531,,5107,Spotted from section lines,0.01,99999
106785,H L WELLS IRR WELL 4,Well,-104.470088,40.465923,,5107,Spotted from section lines,0.01,99999
106786,H L WELLS IRR WELL 5,Well,-104.470418,40.471834,,5107,Spotted from section lines,0.01,99999
106787,H L WELLS IRR WELL 6,Well,-104.471679,40.471835,,5107,Spotted from section lines,0.01,99999
106788,H W FARR INC IRR WELL 1,Well,-104.710993,40.567911,,5107,GPS,0.01,99999
106789,H W FARR INC W 2-13443R,Well,-104.709093,40.565325,,5107,Spotted from section lines,0.01,99999
106790,H W FARR INC IRR WELL 3,Well,-104.711709,40.560985,,5107,Spotted from section lines,0.01,99999
106791,H W FARR INC IRR WELL 4,Well,-104.680679,40.495155,,5107,Spotted from section lines,0.01,99999
106792,H W FARR INC IRR WELL 5,Well,-104.682327,40.495235,,5107,Spotted from section lines,0.01,99999
106793,H W FARR INC IRR WELL 6,Well,-104.683083,40.495472,,5107,Spotted from section lines,0.01,99999
106794,H W FARR INC IRR WELL 7,Well,-104.707299,40.50019,,5107,Spotted from section lines,0.01,99999
106795,HABERMAN WELL 1,Well,-104.792401,40.70347,,5107,Spotted from section lines,0.01,99999
106796,HABERMAN WELL 2,Well,-104.791828,40.703199,,5107,Spotted from section lines,0.01,99999
106797,HADDIX WELL 1-2177F,Well,-104.529285,40.269067,,5107,GPS,0.01,99999
106798,HADDIX WELL 2-4984F,Well,-104.530673,40.269091,,5107,GPS,0.01,99999
106799,HAEKER WELL 8651,Well,-103.631117,40.229612,,5107,GPS,0.01,99999
106800,MCQWD SEC 28 W 2-43077F,Well,-103.649915,40.195698,,5107,GPS,0.01,99999
106801,HAGEN WELL 1-22093,Well,-104.696147,40.681897,,5107,GPS,0.01,99999
106806,HIER LFH WELL,Well,-104.589607,39.315557,,5107,Spotted from section lines,0.01,99999
106807,HALEY WELL 21017-1,Well,-103.743393,40.339386,,5107,Spotted from section lines,0.01,99999
106808,HALEY WELL 21017-2,Well,-103.744593,40.336953,,5107,GPS,0.01,99999
106809,HALL DAIRY BARN W 38683,Well,-104.546714,40.399802,,5107,Spotted from section lines,0.01,99999
106810,HALL DOMESTIC WELL,Well,-104.545267,40.398049,,5107,Spotted from section lines,0.01,99999
106812,HALL LIVESTOCK WELL,Well,-104.544726,40.400024,,5107,Spotted from section lines,0.01,99999
106813,HALL WELL 1-2369-F,Well,-103.87862,40.252645,,5107,GPS,0.01,99999
106817,HALLAHAN WELL 1-10774F,Well,-103.583363,40.070135,,5107,GPS,0.01,99999
106818,HALLAHAN WELL 10-8375,Well,-103.566996,40.046482,,5107,GPS,0.01,99999
106819,HALLAHAN WELL 11-8373,Well,-103.582537,40.046665,,5107,GPS,0.01,99999
106820,HALLAHAN WELL 2-14843,Well,-103.571649,40.058342,,5107,GPS,0.01,99999
106821,HALLAHAN WELL 3-8374,Well,-103.572951,40.047052,,5107,GPS,0.01,99999
106822,HALLAHAN WELL 4-14844,Well,-103.571606,40.059819,,5107,GPS,0.01,99999
106823,HALLAHAN WELL 5-14845,Well,-103.575617,40.061481,,5107,GPS,0.01,99999
106824,HALLAHAN WELL 6-8372,Well,-103.582713,40.045514,,5107,GPS,0.01,99999
106825,HALLAHAN WELL 7-10773F,Well,-103.584758,40.070161,,5107,GPS,0.01,99999
106826,HALLAHAN WELL 8-14842,Well,-103.571627,40.057711,,5107,GPS,0.01,99999
106827,HALLAHAN WELL 9-4060,Well,-103.571914,40.059093,,5107,GPS,0.01,99999
106828,HALTER WELL 37136,Well,-104.620139,40.803955,,5107,Spotted from section lines,0.01,99999
106829,HAMLET WELL 1,Well,-104.54253,40.453115,,5107,Spotted from section lines,0.01,99999
106830,HANNIGAN WELL 88370,Well,-104.568709,39.393199,,5107,Spotted from section lines,0.01,99999
106831,HANNON WELL 1-0427,Well,-104.031694,40.27946,,5107,GPS,0.01,99999
106832,HANNON WELL 2-25523,Well,-104.035754,40.290836,,5107,Spotted from section lines,0.01,99999
106833,HANSEN WELL 1-6283,Well,-104.659736,40.595383,,5107,GPS,0.01,99999
106834,HANSEN WELL 1-14114-R,Well,-103.59259,40.312879,,5107,GPS,0.01,99999
