RegulatoryName,ReportingUnitName,"OrganizationID	",DataPublicationDate
SAN-JUAN RIVER BASIN RIP,San Juan/Dolores - Piedra River,CODWR,4/25/2019
"RIO GRANDE, COLORADO, TIJUANA TREATY",San Juan/Dolores - Piedra River,CODWR,4/25/2019
ARKANSAS RIVER COMPACT,Arkansas - Huerfano River,CODWR,4/25/2019
KANSAS VS. COLORADO,Arkansas - Huerfano River,CODWR,4/25/2019
SOUTH PLATTE RIVER COMPACT,South Platte - South Platte - Cheesman to Denver Gage,CODWR,4/25/2019
REPUBLICAN RIVER COMPACT,South Platte - South Platte - Cheesman to Denver Gage,CODWR,4/25/2019
PLATTE RIVER RECOVERY IMPLEMENTATION PROGRAM,South Platte - South Platte - Cheesman to Denver Gage,CODWR,4/25/2019
SOUTH PLATTE RIVER COMPACT,South Platte - North Fork of South Platte,CODWR,4/25/2019
REPUBLICAN RIVER COMPACT,South Platte - North Fork of South Platte,CODWR,4/25/2019
PLATTE RIVER RECOVERY IMPLEMENTATION PROGRAM,South Platte - North Fork of South Platte,CODWR,4/25/2019
