BeneficialUseCategory,AllocationPrimaryUseCategory,USGSCategoryNameCV,NAICSCodeNameCV
"Irrigation, Municipal, Commercial, Industrial, Fire, Domestic, Stock, Augmentation, Wildlife","","",""
"Irrigation, Industrial, Fishery, Stock","","",""
"Irrigation, Industrial, Recreation, Fishery, Other","","",""
"Irrigation, Municipal, Commercial, Industrial, Recreation, Fishery, Domestic, Stock, Augmentation, Evaporative","","",""
"Irrigation, Commercial, Domestic, Stock, Other","","",""
"Irrigation, Industrial, Recreation, Fishery, Fire, Domestic, Stock","","",""
"Irrigation, Recreation, Fishery, Fire, Stock, Augmentation, Other","","",""
"Irrigation, Stock, Augmentation, Wildlife","","",""
"Irrigation, Domestic, Augmentation, Cumulative Accretion to River, Recharge, All Beneficial Uses","","",""
"Storage, Irrigation, Fire","","",""
"Storage, Irrigation, Commercial, Recreation, Fishery, Fire, Domestic","","",""
"Storage, Irrigation, Recreation, Fishery, Fire, Stock, Augmentation, Power, Wildlife","","",""
"Municipal, Augmentation, All Beneficial Uses","","",""
"Commercial, Industrial, Recreation, Fishery, Domestic, Stock, Augmentation","","",""
"Commercial, Fire, Domestic, Snowmaking","","",""
"Storage, Irrigation, Municipal, Commercial, Industrial, Recreation, Fishery, Fire, Domestic, Augmentation","","",""
"Municipal, Commercial, Fishery, Domestic","","",""
"Irrigation, Municipal, Commercial, Industrial, Recreation, Fishery, Fire, Domestic, Stock, Evaporative","","",""
Stock,"","",""
"Stock, Federal Reserved, Wildlife","","",""
"Irrigation, Fire, Domestic, Evaporative","","",""
"Storage, Irrigation, Recreation, Fishery, Stock, Recharge, Wildlife","","",""
"Irrigation, Recreation, Fishery, Fire, Stock, Augmentation, Power, Other, Wildlife","","",""
"Storage, Irrigation, Municipal, Commercial, Industrial, Domestic, Stock","","",""
"Municipal, Commercial, Industrial, Domestic, Other","","",""
"Domestic, Stock, Augmentation","","",""
"Irrigation, Fire, Domestic, Augmentation, Evaporative","","",""
"Irrigation, Municipal, Commercial, Industrial, Recreation, Fishery, Fire, Domestic, Recharge, Wildlife","","",""
"Irrigation, Domestic, Stock, Augmentation, Other","","",""
"Storage, Municipal, Stock","","",""
"Irrigation, Recreation, Fire, Domestic, Stock, Augmentation, Evaporative, Other","","",""
"Irrigation, Municipal, Commercial, Industrial, Augmentation, Recharge","","",""
"Irrigation, Industrial, Recreation, Fishery, Fire, Stock","","",""
"Irrigation, Municipal, Recreation, Fishery, Fire, Domestic, Stock, Other, Wildlife","","",""
"Irrigation, Industrial, Recreation, Fishery, Domestic, Minimum Streamflow, Other, Wildlife","","",""
"Irrigation, Recreation, Fishery, Other, Recharge","","",""
"Irrigation, Recreation, Augmentation, Other, Wildlife","","",""
"Recreation, Fishery, Fire, Stock, Augmentation, Wildlife","","",""
"Irrigation, Fishery, Domestic, All Beneficial Uses","","",""
"Storage, Irrigation, Commercial, Industrial, Domestic, Stock","","",""
"Fishery, Stock, Other","","",""
"Irrigation, Commercial, Fire, Domestic, Stock, Augmentation, Other","","",""
"Fishery, Domestic, Stock, Wildlife","","",""
"Irrigation, Commercial, Fire, Other","","",""
"Irrigation, Commercial, Industrial, Fishery, Fire, Stock, Augmentation","","",""
"Irrigation, Domestic, Stock, All Beneficial Uses","","",""
"Irrigation, Fishery, Fire","","",""
"Irrigation, Industrial, Recreation, Fishery, Domestic, Stock, Wildlife","","",""
"Fishery, Domestic, Stock, Other","","",""
"Irrigation, Municipal, Industrial, Recreation, Fishery, Fire, Domestic, Augmentation, Evaporative, Wildlife","","",""
"Irrigation, Recreation, Domestic, Stock","","",""
"Irrigation, Recreation, Domestic, Federal Reserved, Other","","",""
"Irrigation, Fishery, Domestic, Stock, Augmentation, Wildlife","","",""
"Municipal, Recreation, Fishery, Augmentation, Other, Wildlife","","",""
"Storage, Irrigation, Recreation, Fishery, Fire, Stock, Power, Other, Wildlife","","",""
"Storage, Irrigation, Municipal, Industrial, Recreation, Domestic, Other","","",""
"Storage, Irrigation, Municipal, Commercial, Industrial, Recreation, Fire, Domestic, Stock, Augmentation","","",""
"Irrigation, Municipal, Industrial, Fire, Other","","",""
"Municipal, Commercial","","",""
"Recreation, Fire, Stock, Other, Wildlife","","",""
"Municipal, Domestic, All Beneficial Uses","","",""
"Irrigation, Municipal, Commercial, Industrial, Fishery, Fire, Domestic, Stock, Augmentation","","",""
"Storage, Municipal, Commercial, Recreation, Fire, Domestic, Stock, Household Use Only","","",""
"Irrigation, Fishery, Domestic, Augmentation","","",""
"Irrigation, Municipal, Augmentation, Other","","",""
"Irrigation, Municipal, Commercial, Recreation, Domestic, Stock, Augmentation, Other","","",""
"Municipal, Industrial, Domestic, Augmentation, Other","","",""
"Commercial, Recreation, Fishery, Fire, Stock, Augmentation, Wildlife","","",""
"Municipal, Industrial, Recreation, Fishery, Domestic, Augmentation, Wildlife","","",""
"Municipal, Industrial, Recreation, Snowmaking","","",""
"Recreation, Fishery, Fire, Augmentation, Wildlife","","",""
"Fire, Domestic, Stock, Household Use Only","","",""
"Irrigation, Municipal, Commercial, Industrial, Recreation, Domestic, Stock","","",""
"Storage, Commercial, Recreation, Fishery","","",""
"Storage, Commercial, Industrial, Recreation, Fishery, Domestic, Stock, Augmentation","","",""
"Storage, Irrigation, Fishery, Domestic, Stock, Wildlife","","",""
"Irrigation, Augmentation, Wildlife","","",""
"Storage, Municipal, Augmentation, Recharge, All Beneficial Uses","","",""
"Irrigation, Municipal, Industrial, Domestic, Stock, Augmentation","","",""
"Irrigation, Commercial, Industrial, Recreation, Fishery, Fire, Stock, Augmentation, Power","","",""
"Irrigation, Domestic, Stock, Wildlife, All Beneficial Uses","","",""
"Municipal, Industrial, Recreation, Other","","",""
"Irrigation, Recreation, Fishery, Fire, Augmentation, Other","","",""
"Irrigation, Commercial, Fishery, Fire, Domestic, Augmentation, Other","","",""
"Irrigation, Commercial, Industrial, Fishery, Fire, Domestic, Augmentation","","",""
"Storage, Irrigation, Commercial, Industrial, Recreation, Fishery, Fire, Augmentation, Evaporative, Wildlife","","",""
"Fishery, Fire, Domestic, Stock, Wildlife","","",""
"Municipal, Commercial, Fire, Domestic, Other","","",""
"Irrigation, Municipal, Fire, Domestic, Stock, Other","","",""
"Storage, Irrigation, Recreation, Augmentation, Other, Wildlife","","",""
"Irrigation, Recreation, Fishery, Fire, Stock, Augmentation, Other, Wildlife","","",""
"Irrigation, Industrial, Recreation, Fire, Domestic","","",""
"Irrigation, Commercial, Industrial, Recreation, Fishery, Fire, Domestic, Augmentation, Wildlife","","",""
Household Use Only,"","",""
"Irrigation, Minimum Streamflow","","",""
"Irrigation, Recreation, Fishery, Fire, Augmentation, Wildlife","","",""
"Municipal, Commercial, Industrial, Fire, Augmentation","","",""
"Municipal, Industrial, Domestic, Other","","",""
"Recreation, Other","","",""
"Recreation, Fishery, Fire, Other, Wildlife","","",""
"Irrigation, Municipal, Industrial, Recreation, Fire, Domestic, Stock","","",""
"Storage, Irrigation, Recreation, Fire, Domestic","","",""
"Irrigation, Municipal, Commercial, Fire, Other","","",""
"Storage, Irrigation, Municipal, Commercial, Industrial, Fishery, Other","","",""
"Irrigation, Municipal, Commercial, Recreation, Domestic, Augmentation, Recharge","","",""
"Municipal, Industrial, Domestic, Power","","",""
"Commercial, Recreation, Other","","",""
"Irrigation, Municipal, Recreation, Fire, Domestic, Snowmaking, All Beneficial Uses","","",""
"Irrigation, Industrial, Recreation, Fishery, Domestic","","",""
"Irrigation, Fishery, Fire, Domestic, Stock, Augmentation, Other","","",""
Fire,"","",""
"Commercial, Fire, Domestic, Stock, Augmentation","","",""
"Irrigation, Municipal, Commercial, Industrial, Fire, Domestic, Augmentation","","",""
"Storage, Irrigation, Municipal, Recreation, Fishery, Fire, Domestic, Augmentation, Wildlife","","",""
"Irrigation, Municipal, Commercial, Recreation, Domestic, Augmentation, Other","","",""
"Irrigation, Municipal, Industrial, Fire, Domestic","","",""
"Recreation, Fishery, Augmentation","","",""
"Commercial, Recreation, Fishery, Fire, Domestic","","",""
"Irrigation, Municipal, Commercial, Recreation, Fishery, Fire, Domestic, Stock, Snowmaking, Wildlife","","",""
"Fishery, Domestic, Augmentation","","",""
"Irrigation, Commercial, Recreation, Fishery, Fire, Domestic, Augmentation, Other, Wildlife","","",""
"Irrigation, Commercial, Fishery, Fire, Domestic, Stock, Augmentation, Wildlife","","",""
"Municipal, Fire, Other","","",""
"Augmentation, Recharge, All Beneficial Uses","","",""
"Storage, Irrigation, Commercial, Fishery, Fire, Domestic","","",""
"Irrigation, Recreation, Fire, Domestic, Augmentation","","",""
"Irrigation, Municipal, Commercial, Recreation, Fire, Domestic, Augmentation","","",""
"Irrigation, Municipal, Commercial, Industrial, Recreation, Fishery, Domestic, Stock, Power","","",""
"Irrigation, Municipal, Commercial, Fishery, Domestic, Stock","","",""
"Irrigation, Industrial, Recreation, Fishery, Fire, Wildlife","","",""
"Irrigation, Municipal, Augmentation, Snowmaking","","",""
"Storage, Commercial, Recreation, Fishery, Fire, Domestic, Stock, Wildlife","","",""
"Recreation, Wildlife","","",""
"Recreation, Fishery, Stock, Augmentation, Wildlife","","",""
"Storage, Domestic, Augmentation","","",""
"Irrigation, Recreation, Domestic, Wildlife","","",""
"Irrigation, Municipal, Industrial, Domestic, Snowmaking","","",""
"Storage, Recreation, Fishery, Fire, Augmentation","","",""
"Recreation, Fire, Domestic, Stock, Wildlife","","",""
"Irrigation, Fishery, Domestic, Stock, Augmentation","","",""
"Commercial, Stock, Wildlife","","",""
"Irrigation, Municipal, Industrial, Domestic, Other","","",""
"Fishery, Domestic, Stock","","",""
"Storage, Irrigation, Domestic, Stock, Augmentation","","",""
"Irrigation, Municipal, Domestic, Other","","",""
"Commercial, Fire, Domestic, Household Use Only","","",""
"Irrigation, Municipal, Industrial, Fire, Domestic, Power","","",""
"Augmentation, Other, Wildlife","","",""
"Irrigation, Municipal, Commercial, Industrial, Recreation, Fishery, Domestic, Stock, Snowmaking, Other","","",""
"Irrigation, Commercial, Recreation, Fire, Domestic, Stock","","",""
"Irrigation, Municipal, Industrial, Recreation, Fishery, Domestic, Stock, Augmentation, Evaporative, Power","","",""
"Irrigation, Municipal, Industrial, Domestic, Stock, Power","","",""
"Storage, Irrigation, Recreation, Fishery, Fire, Domestic, Stock, Other","","",""
"Irrigation, Municipal, Recreation, Fishery, Domestic, Stock, Augmentation, Evaporative, Minimum Streamflow, Power","","",""
"Recreation, Fishery, Fire, Federal Reserved","","",""
"Recreation, Fishery, Recharge, Wildlife","","",""
"Irrigation, Municipal, Commercial, Industrial, Recreation, Domestic, Stock, Wildlife","","",""
"Irrigation, Municipal, Commercial, Industrial, Recreation, Fishery, Domestic, Stock, Power, Wildlife","","",""
"Storage, Irrigation, Stock, Other","","",""
"Irrigation, Commercial, Industrial, Recreation, Fishery, Fire, Domestic, Stock, Other, Wildlife","","",""
"Recreation, Domestic, Other","","",""
"Industrial, Domestic, Stock, Power, Other","","",""
"Irrigation, Commercial, Fishery, Fire, Domestic, Augmentation","","",""
"Irrigation, Municipal, Augmentation, Power, Wildlife, All Beneficial Uses","","",""
"Irrigation, Municipal, Industrial, Fire, Domestic, Stock, Augmentation","","",""
"Irrigation, Municipal, Commercial, Industrial, Recreation, Fishery, Fire, Domestic, Augmentation, Cumulative Accretion to River","","",""
"Irrigation, Commercial, Industrial, Recreation, Fishery, Fire, Domestic, Stock, Augmentation, Other","","",""
"Irrigation, Commercial, Fishery, Stock","","",""
"Irrigation, Commercial, Recreation, Fishery, Domestic, Stock, Augmentation, Wildlife","","",""
"Storage, Wildlife","","",""
"Irrigation, Fire, Augmentation, Geothermal","","",""
"Municipal, Recreation, Domestic, Stock","","",""
"Municipal, Commercial, Fire, Domestic","","",""
"Irrigation, Municipal, Commercial, Industrial, Snowmaking","","",""
"Irrigation, Recreation, Fishery, Stock, Evaporative, Power","","",""
"Irrigation, Recreation, Fire, Other, Wildlife","","",""
"Commercial, Fishery, Stock","","",""
"Irrigation, Recreation, Fishery, Augmentation, Evaporative, Wildlife","","",""
"Irrigation, Municipal, Augmentation, Recharge, Wildlife","","",""
"Irrigation, Federal Reserved","","",""
"Irrigation, Industrial, Recreation, Fishery, Domestic, Stock","","",""
"Recreation, Fishery, Fire, Augmentation","","",""
"Irrigation, Evaporative","","",""
"Recreation, Fire, Augmentation, Other","","",""
"Storage, Irrigation, Fire, Stock","","",""
Geothermal,"","",""
"Irrigation, Industrial, Recreation, Fishery, Fire, Domestic, Augmentation","","",""
"Irrigation, Commercial, Industrial, Fire, Domestic, Augmentation, Recharge","","",""
"Recreation, Fishery, Stock","","",""
"Storage, Irrigation, Fire, Other, Wildlife","","",""
"Irrigation, Recreation, Fishery, Domestic, Evaporative","","",""
"Irrigation, Municipal, Industrial, Recreation, Fishery, Domestic, Basin Export","","",""
"Storage, Irrigation, Commercial, Industrial, Recreation, Fishery, Domestic, Power","","",""
"Domestic, Power","","",""
"Industrial, Recreation, Fishery, Augmentation, Wildlife","","",""
"Municipal, Household Use Only","","",""
"Domestic, Power, Wildlife","","",""
"Irrigation, Recreation","","",""
"Augmentation, Other, Recharge","","",""
"Irrigation, Fishery, All Beneficial Uses","","",""
"Irrigation, Municipal, Industrial, Stock","","",""
"Storage, Irrigation, Commercial, Recreation, Fire, Domestic, Stock","","",""
"Recreation, Domestic, Augmentation","","",""
"Irrigation, Commercial, Industrial, Fishery, Stock","","",""
"Irrigation, Municipal, Commercial, Industrial, Recreation, Fishery, Augmentation, Cumulative Accretion to River, Wildlife","","",""
"Storage, Irrigation, Recreation, Fishery, Fire, Augmentation","","",""
"Fire, Domestic, Federal Reserved","","",""
"Irrigation, Recreation, Augmentation, Other","","",""
"Irrigation, Commercial, Recreation, Fishery, Fire, Domestic, Augmentation, Household Use Only","","",""
"Irrigation, Municipal, Commercial, Recreation, Fire, Domestic, Power, Other","","",""
"Municipal, Commercial, Domestic","","",""
"Municipal, Commercial, Industrial, Domestic","","",""
"Irrigation, Municipal, Domestic, Stock, Power","","",""
"Storage, Irrigation, Municipal, Commercial, Industrial, Recreation, Domestic, Power","","",""
"Storage, Municipal, Industrial, Fire, Domestic","","",""
"Irrigation, Municipal, Commercial, Industrial, Fire, Domestic, Power","","",""
"Irrigation, Municipal, Industrial, Recreation, Fishery, Fire, Domestic, Power","","",""
"Recreation, Domestic, Stock","","",""
"Storage, Irrigation, Fire, Domestic","","",""
"Irrigation, Municipal, Industrial, Recreation, Domestic, Augmentation, Other","","",""
"Fire, Domestic, Household Use Only","","",""
"Domestic, Evaporative","","",""
"Irrigation, Municipal, Fishery, Wildlife","","",""
"Recharge, Wildlife","","",""
"Recreation, Geothermal","","",""
"Commercial, Recreation, Fishery, Stock","","",""
"Irrigation, Power","","",""
"Irrigation, Domestic, Other","","",""
"Irrigation, Industrial, Wildlife","","",""
"Irrigation, Recreation, Fire, Stock, Other, Wildlife","","",""
"Stock, Geothermal","","",""
"Irrigation, Municipal, Commercial, Industrial, Recreation, Fishery, Domestic, Augmentation, All Beneficial Uses","","",""
"Commercial, Recreation, Fishery, Fire, Domestic, Augmentation, Wildlife","","",""
"Irrigation, Recreation, Fishery, Domestic, Power, Wildlife","","",""
"Commercial, Industrial, Augmentation","","",""
"Irrigation, Municipal, Commercial, Recreation, Fishery, Fire, Domestic, Stock, Wildlife","","",""
"Municipal, Recreation, Fishery, Minimum Streamflow","","",""
"Irrigation, Municipal, Augmentation","","",""
"Irrigation, Stock, Augmentation, Other","","",""
"Municipal, Industrial, Recreation, Fishery, Other","","",""
"Irrigation, Municipal, Commercial, Industrial, Fire, Domestic, Other, Wildlife","","",""
"Irrigation, Commercial, Recreation, Stock","","",""
"Commercial, Recreation, Fishery, Geothermal","","",""
"Storage, Irrigation, Commercial, Industrial, Recreation, Fishery, Fire, Domestic, Augmentation, Wildlife","","",""
"Storage, Fire, Stock","","",""
"Irrigation, Industrial, Recreation, Fishery, Wildlife","","",""
"Recreation, Fishery, Fire, Snowmaking","","",""
"Storage, Recreation, Domestic","","",""
"Irrigation, Municipal, Commercial, Industrial, Recreation, All Beneficial Uses","","",""
"Commercial, Industrial, Fishery, Fire, Stock","","",""
"Irrigation, Recreation, Fishery, Domestic, Stock, Augmentation","","",""
"Storage, Irrigation, Industrial, Fire, Power, All Beneficial Uses","","",""
"Storage, Recreation, Fishery, Fire, Augmentation, Wildlife","","",""
"Irrigation, Commercial, Recreation, Fire, Domestic, Augmentation","","",""
"Irrigation, Municipal, Augmentation, Recharge, All Beneficial Uses","","",""
"Irrigation, Municipal, Domestic, Augmentation, Recharge","","",""
"Irrigation, Municipal, Commercial, Recreation, Domestic, Stock","","",""
"Irrigation, Recharge, Wildlife","","",""
"Municipal, Commercial, Fire","","",""
"Recreation, Fishery, Fire, Augmentation, Other","","",""
"Irrigation, Recreation, Fire, Evaporative","","",""
"Storage, Irrigation, Commercial, Industrial, Domestic, Augmentation, Cumulative Accretion to River, Recharge","","",""
"Augmentation, Household Use Only","","",""
"Irrigation, Commercial, Stock, Augmentation","","",""
"Storage, Irrigation, Commercial, Industrial, Recreation, Fishery, Fire, Domestic, Stock","","",""
"Industrial, Recreation, Fishery, Evaporative, Other","","",""
"Irrigation, Municipal, Commercial, Recreation, Fire, Domestic","","",""
"Irrigation, Commercial, Industrial, Domestic, Stock, Augmentation, Snowmaking, Other","","",""
"Industrial, Fire, Domestic, Power, Other","","",""
"Irrigation, Municipal, Recreation","","",""
"Irrigation, Municipal, Industrial, Recreation, Fishery, Domestic, Stock, Augmentation, Snowmaking, Other","","",""
"Irrigation, Fishery, Fire, Stock, Augmentation, Other, Wildlife","","",""
"Domestic, Augmentation","","",""
"Stock, Federal Reserved","","",""
"Storage, Irrigation, Municipal, Recreation, Augmentation, Other","","",""
"Irrigation, Industrial, Recreation","","",""
"Irrigation, Stock, Other, Wildlife","","",""
"Fishery, Power","","",""
"Storage, Recreation, Fishery, Fire, Domestic, Stock","","",""
"Storage, Recreation, Fire, Domestic, Stock","","",""
"Domestic, Stock, Power","","",""
"Industrial, Domestic, Power","","",""
"Storage, Irrigation, Municipal, Industrial, Recreation, Fishery, Domestic, Stock, Augmentation, Power","","",""
"Industrial, Recreation, Domestic, Stock","","",""
"Irrigation, Municipal, Commercial, Industrial, Recreation, Fire, Domestic, Stock, Augmentation","","",""
"Irrigation, Recreation, Fishery, Augmentation, Other","","",""
"Fishery, Fire, Stock, Federal Reserved","","",""
"Commercial, Industrial, Other","","",""
"Fishery, Fire, Other","","",""
"Irrigation, Municipal, Commercial","","",""
"Storage, Irrigation, Augmentation, Evaporative, Recharge","","",""
"Fire, Augmentation, Wildlife","","",""
"Commercial, Fire, Household Use Only","","",""
"Storage, Industrial, Recreation, Domestic","","",""
"Irrigation, Municipal, Commercial, Industrial, Recreation, Fishery, Fire, Augmentation, Snowmaking, Wildlife","","",""
"Irrigation, Municipal, Commercial, Industrial, Recreation, Fire, Domestic, Stock","","",""
"Municipal, Domestic","","",""
"Irrigation, Industrial, Recreation, Fishery, Fire, Stock, Augmentation, Wildlife","","",""
"Irrigation, Recreation, Fire, Domestic, Stock, Augmentation","","",""
"Municipal, Commercial, Recreation, Domestic","","",""
"Storage, Irrigation, Recreation, Fishery, Domestic, Stock, Evaporative, Other","","",""
"Irrigation, Municipal, Commercial, Industrial, Domestic, Other","","",""
"Irrigation, Commercial, Fire, Domestic, Stock, Wildlife","","",""
"Storage, Irrigation, Municipal, Augmentation, All Beneficial Uses","","",""
"Irrigation, Municipal, Recreation, Other","","",""
"Municipal, Recreation, Fishery, Augmentation","","",""
"Commercial, Industrial, Recreation, Fishery, Fire, Domestic, Stock, Augmentation, Other, Wildlife","","",""
"Recreation, Fishery, Stock, Augmentation","","",""
"Fire, Stock","","",""
"Storage, Recreation, Fire, Stock","","",""
"Storage, Irrigation, Commercial, Recreation, Domestic, Stock","","",""
"Stock, Household Use Only","","",""
"Storage, Irrigation, Fishery, Domestic, Stock, Other","","",""
"Fishery, Augmentation, Power, Other, Wildlife","","",""
"Irrigation, Municipal, Commercial, Industrial, Recreation, Fire, Domestic, Wildlife","","",""
"Commercial, Industrial, Domestic, Stock, Augmentation, Snowmaking, Other","","",""
"Irrigation, Recreation, Fishery, Domestic, Augmentation, Other, Wildlife","","",""
"Storage, Irrigation, Recreation, Stock","","",""
"Irrigation, Municipal, Industrial, Recreation, Fishery, Domestic, Augmentation, All Beneficial Uses","","",""
"Storage, Stock, Recharge","","",""
"Industrial, Recreation, Domestic, Other","","",""
"Irrigation, Municipal, Industrial, Fishery, Domestic, Stock","","",""
"Storage, Irrigation, Municipal, Commercial, Industrial, Recreation, Domestic, Augmentation","","",""
"Irrigation, Fishery, Fire, Stock, Evaporative","","",""
"Irrigation, Recreation, Fishery, Fire, Domestic, Augmentation, Wildlife","","",""
"Storage, Irrigation, Recreation, Fire, Stock, Household Use Only","","",""
"Irrigation, Recreation, Fishery, Fire, Evaporative, Wildlife","","",""
"Irrigation, Fishery, Stock, Wildlife","","",""
"Storage, Irrigation, Recreation, Fishery, Fire, Evaporative, Wildlife","","",""
"Municipal, Fishery, Domestic, Stock, Augmentation","","",""
"Storage, Recreation, Fishery, Fire, Augmentation, Evaporative, Wildlife","","",""
"Storage, Irrigation, Municipal, Recreation, Fishery, Fire, Domestic, Stock, Wildlife","","",""
"Irrigation, Municipal, Commercial, Industrial, Recreation, Fishery, Domestic, Augmentation, Other","","",""
"Fishery, Fire","","",""
Recharge,"","",""
"Irrigation, Commercial, Recreation, Fire, Domestic, Stock, Augmentation, Wildlife","","",""
"Storage, Municipal, Recreation, Fishery, Domestic, Augmentation, Wildlife","","",""
"Irrigation, Municipal, Industrial, Fire, Domestic, Stock","","",""
"Irrigation, Stock, Augmentation","","",""
"Municipal, Fire, Domestic, Stock","","",""
"Irrigation, Fishery, Stock, Augmentation","","",""
"Commercial, Industrial, Fire, Domestic, Augmentation","","",""
"Irrigation, Fire, Augmentation, Power","","",""
"Storage, Irrigation, Municipal, Industrial, Recreation, Fishery, Domestic, Stock, Augmentation, Evaporative","","",""
"Irrigation, Recreation, Fishery, Stock, Augmentation, Wildlife","","",""
"Recreation, Fishery, Fire, Domestic, Other, Wildlife","","",""
"Irrigation, Municipal, Industrial, Recreation, Fishery","","",""
"Storage, Irrigation, Municipal, Fishery, Wildlife","","",""
"Storage, Irrigation, Commercial, Domestic, Stock, Augmentation, Other","","",""
"Storage, Irrigation, Recreation, Fishery, Stock","","",""
"Irrigation, Fishery, Fire, Stock, Augmentation","","",""
"Irrigation, Industrial, Fishery, Augmentation","","",""
"Irrigation, Recreation, Fishery, Fire, Augmentation, Snowmaking, Other, Wildlife","","",""
"Storage, Municipal, Commercial, Domestic, Augmentation","","",""
"Industrial, Stock, Wildlife","","",""
"Storage, Commercial, Fire, Domestic, Snowmaking","","",""
"Recreation, Fishery, Power, Wildlife","","",""
"Irrigation, Municipal, Industrial, Recreation, Domestic, Stock, Augmentation, Recharge","","",""
"Storage, Irrigation, Industrial, Domestic","","",""
"Irrigation, Industrial, Fishery, Stock, Augmentation, Wildlife","","",""
"Irrigation, Fire, Domestic, Stock, Augmentation, Other","","",""
