WaterSourceID,WaterSourceUID,WaterSourceNativeID,WaterSourceName,WaterSourceTypeCV,WaterQualityIndicatorCV,Geometry,GNISFeatureNameCV
1000,Little Cascade Creek-CODWR,A1096,Little Cascade Creek,Uknown,Fresh,,
1001,Little Cimarron River-CODWR,A1097,Little Cimarron River,Uknown,Fresh,,
1002,Little Cochetopa Creek-CODWR,A1098,Little Cochetopa Creek,Uknown,Fresh,,
1003,Little Columbine Creek-CODWR,A1099,Little Columbine Creek,Uknown,Fresh,,
1004,Little Corral Gulch-CODWR,A1100,Little Corral Gulch,Uknown,Fresh,,
1005,Little Cottonwood Creek-CODWR,A1101,Little Cottonwood Creek,Uknown,Fresh,,
1006,Little Creek-CODWR,A1102,Little Creek,Uknown,Fresh,,
1007,Little Crow Creek-CODWR,A1103,Little Crow Creek,Uknown,Fresh,,
1008,Little Dolores River-CODWR,A1104,Little Dolores River,Uknown,Fresh,,
1009,Little Dominguez Creek-CODWR,A1105,Little Dominguez Creek,Uknown,Fresh,,
1010,Little Dry Creek-CODWR,A1106,Little Dry Creek,Uknown,Fresh,,
1011,Little Duck Creek-CODWR,A1107,Little Duck Creek,Uknown,Fresh,,
1012,Little Elk Creek-CODWR,A1108,Little Elk Creek,Uknown,Fresh,,
1013,Little Fish Creek-CODWR,A1109,Little Fish Creek,Uknown,Fresh,,
1014,Little Fountain Creek-CODWR,A1110,Little Fountain Creek,Uknown,Fresh,,
1015,Little Graneros Creek-CODWR,A1111,Little Graneros Creek,Uknown,Fresh,,
1016,Little Grizzly Creek-CODWR,A1112,Little Grizzly Creek,Uknown,Fresh,,
1017,Little High Creek-CODWR,A1113,Little High Creek,Uknown,Fresh,,
1018,Little Horse Creek-CODWR,A1114,Little Horse Creek,Uknown,Fresh,,
1019,Little Jenkins Creek-CODWR,A1115,Little Jenkins Creek,Uknown,Fresh,,
1020,Little Joe Draw-CODWR,A1116,Little Joe Draw,Uknown,Fresh,,
1021,Little Kerber Creek-CODWR,A1117,Little Kerber Creek,Uknown,Fresh,,
1022,Little Medano Creek-CODWR,A1118,Little Medano Creek,Uknown,Fresh,,
1023,Little Morrison Creek-CODWR,A1119,Little Morrison Creek,Uknown,Fresh,,
1024,Little Muddy Creek-CODWR,A1120,Little Muddy Creek,Uknown,Fresh,,
1025,Little Navajo River-CODWR,A1121,Little Navajo River,Uknown,Fresh,,
1026,Little Oak Creek-CODWR,A1122,Little Oak Creek,Uknown,Fresh,,
1027,Little Pagosa Creek-CODWR,A1123,Little Pagosa Creek,Uknown,Fresh,,
1028,Little Red Creek-CODWR,A1124,Little Red Creek,Uknown,Fresh,,
1029,Little Rock Creek-CODWR,A1125,Little Rock Creek,Uknown,Fresh,,
1030,Little Saint Charles Cre-CODWR,A1126,Little Saint Charles Cre,Uknown,Fresh,,
